196 Albany,No Wait Time
4101 White Plains Road,No Wait Time
57 Cleveland Place,Not Reported Yet
Bathgate Contract Post...,Not Reported Yet
Bay Ridge 5th Avenue,No Wait Time
Beach 39th,Not Reported Yet
Bellevue Hospital Center,Not Reported Yet
Belvis Diagnosc & Tr...,Not Reported Yet
Bensonhurst 14th Avenue,0-30 Minutes
Brooklyn Army Terminal,0-30 Minutes
Canarsie Municipal Lot,0-30 Minutes
CI Ida G Israel Chc,Not Reported Yet
Co-op City Retail Space,No Wait Time
Coney Island Hospital ...,Not Reported Yet
CU Jonathan Williams C...,Not Reported Yet
CU Vanderbilt,Not Reported Yet
CU Woodside Houses CHC,Not Reported Yet
Cumberland Dtc,Not Reported Yet
Edward Grant,Not Reported Yet
Elmhurst Hospital Center,0-30 Minutes
EY East New York DTC,Not Reported Yet
Fort Hamilton,Not Reported Yet
Gouverneur Healthcare,Not Reported Yet
Greenbelt Recreaonal...,0-30 Minutes
Harlem Hospital Center,Not Reported Yet
Highbridge Pool,1-1.5 Hours
Jacobi Medical Center,Not Reported Yet
JFK Airport,No Wait Time
Kew Gardens,30-60 Minutes
Kings County Hospital ...,Not Reported Yet
LaGuardia Airport,No Wait Time
Leﬀerts,0-30 Minutes
Lincoln Medical Center,30-60 Minutes
Mariners Harbor Library,Not Reported Yet
Metropolitan Hospital ...,Not Reported Yet
Midwood,1.5-2 Hours
Morrisania Diagnosc ...,0-30 Minutes
Mt. Loreo,30-60 Minutes
North Central Bronx Ho...,Not Reported Yet
Northern Boulevard,No Wait Time
Old Broadway,0-30 Minutes
Queens Hospital Center,1-1.5 Hours
Rain Boston Road Senio...,0-30 Minutes
Red Hook Recreaonal ...,No Wait Time
Sorrenona...,Not Reported Yet
St. Albans,No Wait Time
St. George Ferry Termi...,1-1.5 Hours
St. James Recreaonal...,1-1.5 Hours
Starret City,No Wait Time
SY Dyckman Lcdla,Not Reported Yet
SY St. Nicholas Chc,Not Reported Yet
Sydenham,Not Reported Yet
Sydenham Health Center,Not Reported Yet
Tremont Community Heal...,Not Reported Yet
Windsor Park Library,0-30 Minutes
Woodhull Medical Center,Not Reported Yet
