196 Albany,No Wait Time
4101 White Plains Road,< 90 Minutes
57 Cleveland Place,No Wait Time
Bathgate Contract Post...,No Wait Time
Bay Ridge 5th Avenue,No Wait Time
Beach 39th,Not Reported Yet
Bellevue Hospital Center,Not Reported Yet
Belvis Diagnosc & Tr...,Not Reported Yet
Bensonhurst 14th Avenue,No Wait Time
Brooklyn Army Terminal,< 30 Minutes
Canarsie Municipal Lot,< 30 Minutes
CI Ida G Israel Chc,Not Reported Yet
Co-op City Retail Space,No Wait Time
Coney Island Hospital ...,< 30 Minutes
CU Jonathan Williams C...,< 60 Minutes
CU Vanderbilt,Not Reported Yet
CU Woodside Houses CHC,Not Reported Yet
Cumberland Dtc,Not Reported Yet
Edward Grant,< 90 Minutes
Elmhurst Hospital Center,< 60 Minutes
EY East New York DTC,Not Reported Yet
Fort Hamilton,< 60 Minutes
Gouverneur Healthcare,Not Reported Yet
Greenbelt Recreaonal...,Not Reported Yet
Harlem Hospital Center,Not Reported Yet
Highbridge Pool,< 90 Minutes
Jacobi Medical Center,Not Reported Yet
JFK Airport,No Wait Time
Kew Gardens,Not Reported Yet
Kings County Hospital ...,No Wait Time
LaGuardia Airport,Not Reported Yet
Leﬀerts,Not Reported Yet
Lincoln Medical Center,< 60 Minutes
Mariners Harbor Library,< 30 Minutes
Metropolitan Hospital ...,< 30 Minutes
Midwood,< 2 Hours
Morrisania Diagnosc ...,Not Reported Yet
Mt. Loreo,< 60 Minutes
North Central Bronx Ho...,Not Reported Yet
Northern Boulevard,< 30 Minutes
Old Broadway,No Wait Time
Queens Hospital Center,< 2 Hours
Rain Boston Road Senio...,< 30 Minutes
Red Hook Recreaonal ...,No Wait Time
Sorrenona...,Not Reported Yet
St. Albans,Not Reported Yet
St. George Ferry Termi...,< 30 Minutes
St. James Recreaonal...,< 60 Minutes
Starret City,Not Reported Yet
SY Dyckman Lcdla,Not Reported Yet
SY St. Nicholas Chc,Not Reported Yet
Sydenham,Not Reported Yet
Sydenham Health Center,Not Reported Yet
Tremont Community Heal...,Not Reported Yet
Windsor Park Library,< 30 Minutes
Woodhull Medical Center,Not Reported Yet
