196 Albany,Not Reported Yet
4101 White Plains Road,No Wait Time
57 Cleveland Place,No Wait Time
Bathgate Contract Post...,No Wait Time
Bay Ridge 5th Avenue,Not Reported Yet
Beach 39th,30-60 Minutes
Bellevue Hospital Center,Not Reported Yet
Belvis Diagnosc & Tr...,Not Reported Yet
Bensonhurst 14th Avenue,30-60 Minutes
Brooklyn Army Terminal,0-30 Minutes
Canarsie Municipal Lot,0-30 Minutes
CI Ida G Israel Chc,Not Reported Yet
Co-op City Retail Space,No Wait Time
Coney Island Hospital ...,Not Reported Yet
CU Jonathan Williams C...,Not Reported Yet
CU Vanderbilt,Not Reported Yet
CU Woodside Houses CHC,Not Reported Yet
Cumberland Dtc,Not Reported Yet
Edward Grant,1.5-2 Hours
Elmhurst Hospital Center,Not Reported Yet
EY East New York DTC,Not Reported Yet
Fort Hamilton,1.5-2 Hours
Gouverneur Healthcare,Not Reported Yet
Greenbelt Recreaonal...,Not Reported Yet
Harlem Hospital Center,Not Reported Yet
Highbridge Pool,1-1.5 Hours
Jacobi Medical Center,Not Reported Yet
JFK Airport,No Wait Time
Kew Gardens,Not Reported Yet
Kings County Hospital ...,0-30 Minutes
LaGuardia Airport,Not Reported Yet
Leﬀerts,30-60 Minutes
Lincoln Medical Center,Not Reported Yet
Mariners Harbor Library,Not Reported Yet
Metropolitan Hospital ...,1-1.5 Hours
Midwood,1.5-2 Hours
Morrisania Diagnosc ...,Not Reported Yet
Mt. Loreo,Not Reported Yet
North Central Bronx Ho...,Not Reported Yet
Northern Boulevard,Not Reported Yet
Old Broadway,Not Reported Yet
Queens Hospital Center,1.5-2 Hours
Rain Boston Road Senio...,No Wait Time
Red Hook Recreaonal ...,No Wait Time
Sorrenona...,Not Reported Yet
St. Albans,Not Reported Yet
St. George Ferry Termi...,0-30 Minutes
St. James Recreaonal...,1-1.5 Hours
Starret City,No Wait Time
SY Dyckman Lcdla,Not Reported Yet
SY St. Nicholas Chc,Not Reported Yet
Sydenham,Not Reported Yet
Sydenham Health Center,Not Reported Yet
Tremont Community Heal...,Not Reported Yet
Windsor Park Library,30-60 Minutes
Woodhull Medical Center,Not Reported Yet
