196 Albany,No Wait Time
4101 White Plains Road,30-60 Minutes
57 Cleveland Place,Not Reported Yet
Bathgate Contract Post...,Not Reported Yet
Bay Ridge 5th Avenue,0-30 Minutes
Beach 39th,1-1.5 Hours
Bellevue Hospital Center,1.5-2 Hours
Belvis Diagnosc & Tr...,Not Reported Yet
Bensonhurst 14th Avenue,30-60 Minutes
Brooklyn Army Terminal,Not Reported Yet
Canarsie Municipal Lot,No Wait Time
CI Ida G Israel Chc,Not Reported Yet
Co-op City Retail Space,Not Reported Yet
Coney Island Hospital ...,Not Reported Yet
CU Jonathan Williams C...,Not Reported Yet
CU Vanderbilt,Not Reported Yet
CU Woodside Houses CHC,Not Reported Yet
Cumberland Dtc,Not Reported Yet
Edward Grant,Not Reported Yet
Elmhurst Hospital Center,30-60 Minutes
EY East New York DTC,Not Reported Yet
Fort Hamilton,1.5-2 Hours
Gouverneur Healthcare,Not Reported Yet
Greenbelt Recreaonal...,Not Reported Yet
Harlem Hospital Center,1-1.5 Hours
Highbridge Pool,More Than 2 Hours
Jacobi Medical Center,Not Reported Yet
JFK Airport,Not Reported Yet
Kew Gardens,Not Reported Yet
Kings County Hospital ...,Not Reported Yet
LaGuardia Airport,Not Reported Yet
Leﬀerts,1-1.5 Hours
Lincoln Medical Center,30-60 Minutes
Mariners Harbor Library,Not Reported Yet
Metropolitan Hospital ...,Not Reported Yet
Midwood,1.5-2 Hours
Morrisania Diagnosc ...,Not Reported Yet
Mt. Loreo,Not Reported Yet
North Central Bronx Ho...,0-30 Minutes
Northern Boulevard,30-60 Minutes
Old Broadway,Not Reported Yet
Queens Hospital Center,30-60 Minutes
Rain Boston Road Senio...,Not Reported Yet
Red Hook Recreaonal ...,No Wait Time
Sorrenona...,Not Reported Yet
St. Albans,30-60 Minutes
St. George Ferry Termi...,Not Reported Yet
St. James Recreaonal...,Not Reported Yet
Starret City,No Wait Time
SY Dyckman Lcdla,Not Reported Yet
SY St. Nicholas Chc,Not Reported Yet
Sydenham,Not Reported Yet
Sydenham Health Center,Not Reported Yet
Tremont Community Heal...,Not Reported Yet
Windsor Park Library,Not Reported Yet
Woodhull Medical Center,Not Reported Yet
