196 Albany,No Wait Time
4101 White Plains Road,< 90 Minutes
57 Cleveland Place,No Wait Time
Bathgate Contract Post...,< 60 Minutes
Bay Ridge 5th Avenue,Not Reported Yet
Beach 39th,Not Reported Yet
Bellevue Hospital Center,Not Reported Yet
Belvis Diagnosc & Tr...,Not Reported Yet
Bensonhurst 14th Avenue,< 90 Minutes
Brooklyn Army Terminal,< 30 Minutes
Canarsie Municipal Lot,< 30 Minutes
CI Ida G Israel Chc,Not Reported Yet
Co-op City Retail Space,No Wait Time
Coney Island Hospital ...,< 30 Minutes
CU Jonathan Williams C...,< 90 Minutes
CU Vanderbilt,Not Reported Yet
CU Woodside Houses CHC,Not Reported Yet
Cumberland Dtc,Not Reported Yet
Edward Grant,< 90 Minutes
Elmhurst Hospital Center,< 60 Minutes
EY East New York DTC,Not Reported Yet
Fort Hamilton,< 60 Minutes
Gouverneur Healthcare,Not Reported Yet
Greenbelt Recreaonal...,Not Reported Yet
Harlem Hospital Center,Not Reported Yet
Highbridge Pool,Not Reported Yet
Jacobi Medical Center,Not Reported Yet
JFK Airport,Not Reported Yet
Kew Gardens,Not Reported Yet
Kings County Hospital ...,Not Reported Yet
LaGuardia Airport,No Wait Time
Leﬀerts,Not Reported Yet
Lincoln Medical Center,< 60 Minutes
Mariners Harbor Library,< 30 Minutes
Metropolitan Hospital ...,< 30 Minutes
Midwood,< 2 Hours
Morrisania Diagnosc ...,Not Reported Yet
Mt. Loreo,Not Reported Yet
North Central Bronx Ho...,< 2 Hours
Northern Boulevard,Not Reported Yet
Old Broadway,No Wait Time
Queens Hospital Center,Not Reported Yet
Rain Boston Road Senio...,Not Reported Yet
Red Hook Recreaonal ...,No Wait Time
Sorrenona...,Not Reported Yet
St. Albans,Not Reported Yet
St. George Ferry Termi...,< 30 Minutes
St. James Recreaonal...,< 60 Minutes
Starret City,< 30 Minutes
SY Dyckman Lcdla,Not Reported Yet
SY St. Nicholas Chc,Not Reported Yet
Sydenham,Not Reported Yet
Sydenham Health Center,Not Reported Yet
Tremont Community Heal...,Not Reported Yet
Windsor Park Library,< 60 Minutes
Woodhull Medical Center,Not Reported Yet
