*Asterisk indicates wait me may have changed since last reported.,196 Albany
Not Reported Yet,4101 White Plains Road
No Wait Time,Last Reported at: 8:32AM
Bensonhurst 14th Avenue,0-30 Minutes
Last Reported at: 9:15AM,57 Cleveland Place
Not Reported Yet,Bathgate Contract Post...
Not Reported Yet,Bay Ridge 5th Avenue
Not Reported Yet,Beach 39th
Not Reported Yet,Bellevue Hospital Center
Not Reported Yet,Belvis Diagnos(cid:415)c & Tr...
Not Reported Yet,Brooklyn Army Terminal
Not Reported Yet,Canarsie Municipal Lot
Not Reported Yet,CI Ida G Israel Chc
Not Reported Yet,Co-op City Retail Space
Not Reported Yet,Coney Island Hospital ...
Not Reported Yet,CU Jonathan Williams C...
Not Reported Yet,CU Vanderbilt
Not Reported Yet,CU Woodside Houses CHC
Not Reported Yet,Cumberland Dtc
Not Reported Yet,Edward Grant
Not Reported Yet,EY East New York DTC
Not Reported Yet,Fort Hamilton
Not Reported Yet,Gouverneur Healthcare
Not Reported Yet,Elmhurst Hospital Center
1-1.5 Hours,Last Reported at: 8:15AM
Harlem Hospital Center,Not Reported Yet
Highbridge Pool,Not Reported Yet
Jacobi Medical Center,0-30 Minutes
Last Reported at: 9:03AM,JFK Airport
Not Reported Yet,Kew Gardens
Not Reported Yet,Kings County Hospital ...
Not Reported Yet,LaGuardia Airport
Not Reported Yet,Lincoln Medical Center
No Wait Time,Last Reported at: 8:44AM
Mariners Harbor Library,Not Reported Yet
Metropolitan Hospital ...,Not Reported Yet
Midwood,0-30 Minutes
Last Reported at: 8:29AM,Morrisania Diagnos(cid:415)c ...
Not Reported Yet,Mt. Lore(cid:425)o
Not Reported Yet,North Central Bronx Ho...
Not Reported Yet,Greenbelt Recrea(cid:415)onal...
30-60 Minutes,Last Reported at: 8:57AM
Leﬀerts,No Wait Time
Last Reported at: 8:05AM,Northern Boulevard
1-1.5 Hours,Last Reported at: 9:07AM
Old Broadway,Not Reported Yet
Queens Hospital Center,Not Reported Yet
Rain Boston Road Senio...,No Wait Time
Last Reported at: 9:06AM,Red Hook Recrea(cid:415)onal ...
Not Reported Yet,Sorren(cid:415)no Recrea(cid:415)ona...
Not Reported Yet,St. Albans
30-60 Minutes,Last Reported at: 9:06AM
St. George Ferry Termi...,Not Reported Yet
St. James Recreaonal...,Not Reported Yet
Starret City,Not Reported Yet
SY Dyckman Lcdla,Not Reported Yet
SY St. Nicholas Chc,Not Reported Yet
Sydenham,Not Reported Yet
Sydenham Health Center,Not Reported Yet
Tremont Community Heal...,Not Reported Yet
Windsor Park Library,Not Reported Yet
Woodhull Medical Center,Not Reported Yet
