196 Albany,No Wait Time
4101 White Plains Road,No Wait Time
57 Cleveland Place,No Wait Time
Bathgate Contract Post...,No Wait Time
Bay Ridge 5th Avenue,No Wait Time
Beach 39th,30-60 Minutes
Bellevue Hospital Center,Not Reported Yet
Belvis Diagnosc & Tr...,Not Reported Yet
Bensonhurst 14th Avenue,No Wait Time
Brooklyn Army Terminal,Not Reported Yet
Canarsie Municipal Lot,0-30 Minutes
CI Ida G Israel Chc,Not Reported Yet
Co-op City Retail Space,No Wait Time
Coney Island Hospital ...,Not Reported Yet
CU Jonathan Williams C...,Not Reported Yet
CU Vanderbilt,Not Reported Yet
CU Woodside Houses CHC,Not Reported Yet
Cumberland Dtc,Not Reported Yet
Edward Grant,Not Reported Yet
Elmhurst Hospital Center,Not Reported Yet
EY East New York DTC,Not Reported Yet
Fort Hamilton,Not Reported Yet
Gouverneur Healthcare,Not Reported Yet
Greenbelt Recreaonal...,Not Reported Yet
Harlem Hospital Center,Not Reported Yet
Highbridge Pool,1-1.5 Hours
Jacobi Medical Center,Not Reported Yet
JFK Airport,Not Reported Yet
Kew Gardens,Not Reported Yet
Kings County Hospital ...,Not Reported Yet
LaGuardia Airport,Not Reported Yet
Leﬀerts,Not Reported Yet
Lincoln Medical Center,Not Reported Yet
Mariners Harbor Library,No Wait Time
Metropolitan Hospital ...,Not Reported Yet
Midwood,30-60 Minutes
Morrisania Diagnosc ...,Not Reported Yet
Mt. Loreo,Not Reported Yet
North Central Bronx Ho...,Not Reported Yet
Northern Boulevard,0-30 Minutes
Old Broadway,No Wait Time
Queens Hospital Center,Not Reported Yet
Rain Boston Road Senio...,0-30 Minutes
Red Hook Recreaonal ...,No Wait Time
Sorrenona...,Not Reported Yet
St. Albans,No Wait Time
St. George Ferry Termi...,0-30 Minutes
St. James Recreaonal...,Not Reported Yet
Starret City,No Wait Time
SY Dyckman Lcdla,Not Reported Yet
SY St. Nicholas Chc,Not Reported Yet
Sydenham,Not Reported Yet
Sydenham Health Center,Not Reported Yet
Tremont Community Heal...,Not Reported Yet
Windsor Park Library,No Wait Time
Woodhull Medical Center,Not Reported Yet
